               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01997,            0.017578,           0.0021497,             0.86991,             0.87061,             0.90228,              0.5696,            0.023619,            0.015147,           0.0029295,            0.070032,           0.0033298,           0.0033298
                   1,            0.023736,            0.016789,           0.0013993,             0.86867,             0.85267,             0.89809,             0.55021,            0.026176,            0.015311,           0.0030727,            0.039768,           0.0063993,           0.0063993
                   2,            0.028301,            0.017715,           0.0015532,             0.88194,             0.84372,             0.89702,             0.52321,            0.028174,            0.015244,           0.0034598,           0.0092402,           0.0092047,           0.0092047
                   3,             0.02882,            0.018546,           0.0016858,             0.87587,             0.85911,             0.89042,             0.53636,            0.026618,            0.015055,           0.0028143,            0.008812,            0.008812,            0.008812
                   4,            0.027496,             0.01822,           0.0018039,              0.8254,             0.83278,             0.87862,             0.53009,            0.026376,            0.016019,           0.0032795,            0.008812,            0.008812,            0.008812
                   5,            0.026527,            0.018178,           0.0016908,             0.86822,             0.85085,              0.8958,             0.53858,            0.026264,            0.015092,           0.0034733,            0.008416,            0.008416,            0.008416
                   6,            0.024784,            0.017893,           0.0013731,             0.87428,              0.8272,             0.89474,             0.54267,            0.024932,            0.015593,           0.0030924,             0.00802,             0.00802,             0.00802
                   7,            0.023828,            0.017937,           0.0012972,             0.86147,             0.84662,             0.89794,             0.54821,            0.025139,            0.015327,           0.0031932,            0.007624,            0.007624,            0.007624
                   8,            0.023108,            0.017451,           0.0012748,             0.86387,             0.85239,             0.89862,              0.5534,            0.025184,            0.015557,           0.0030738,            0.007228,            0.007228,            0.007228
                   9,            0.022735,            0.016969,           0.0012603,              0.8472,             0.85038,             0.88659,              0.5506,            0.024579,             0.01561,           0.0030347,            0.006832,            0.006832,            0.006832
                  10,            0.021982,             0.01666,           0.0012782,             0.85753,              0.8343,              0.8889,             0.56054,            0.024099,            0.015398,           0.0034723,            0.006436,            0.006436,            0.006436
                  11,            0.021244,             0.01659,           0.0013371,             0.85778,             0.81071,             0.88252,             0.56037,            0.023802,            0.015292,           0.0033301,             0.00604,             0.00604,             0.00604
                  12,            0.020671,             0.01649,           0.0010955,             0.84035,             0.81394,             0.87679,             0.56712,            0.023276,            0.015924,           0.0037164,            0.005644,            0.005644,            0.005644
                  13,            0.020354,            0.016332,            0.001034,             0.87113,             0.83117,             0.88907,             0.56874,            0.023318,            0.015437,           0.0033854,            0.005248,            0.005248,            0.005248
                  14,            0.019865,            0.015738,          0.00097712,             0.85036,             0.80892,             0.87632,              0.5573,            0.023295,             0.01589,           0.0028486,            0.004852,            0.004852,            0.004852
                  15,            0.019423,            0.016108,          0.00099478,               0.859,             0.83604,              0.8898,             0.57007,            0.023335,            0.015803,           0.0027237,            0.004456,            0.004456,            0.004456
                  16,            0.019183,            0.015644,            0.001013,              0.8523,             0.82329,             0.88251,             0.56324,            0.022957,            0.015794,           0.0034273,             0.00406,             0.00406,             0.00406
                  17,            0.018476,            0.015217,          0.00085947,             0.86443,             0.81117,             0.89136,             0.57534,            0.022699,            0.015986,           0.0029767,            0.003664,            0.003664,            0.003664
                  18,            0.018393,            0.015567,          0.00083539,             0.86459,             0.82291,             0.88723,             0.57373,            0.022639,            0.015634,           0.0030708,            0.003268,            0.003268,            0.003268
                  19,            0.018024,            0.015236,          0.00074372,             0.84923,             0.83995,              0.8922,             0.57533,            0.022815,            0.015307,           0.0032436,            0.002872,            0.002872,            0.002872
                  20,            0.017724,            0.015189,          0.00075502,             0.84487,             0.83222,             0.88325,             0.57486,             0.02271,            0.015809,           0.0029516,            0.002476,            0.002476,            0.002476
                  21,            0.017459,            0.015019,          0.00080492,             0.87032,             0.84053,             0.89525,             0.57741,            0.022681,            0.015908,           0.0028587,             0.00208,             0.00208,             0.00208
                  22,            0.017238,            0.015124,          0.00070631,             0.85768,             0.82229,             0.88776,             0.57603,            0.022444,            0.015826,           0.0029118,            0.001684,            0.001684,            0.001684
                  23,            0.016375,            0.014216,          0.00066956,             0.85923,               0.825,             0.88483,             0.57852,            0.022405,            0.016173,           0.0027878,            0.001288,            0.001288,            0.001288
                  24,            0.016493,            0.014557,          0.00075749,              0.8694,             0.83778,             0.89245,             0.58329,            0.022261,             0.01613,           0.0029688,            0.000892,            0.000892,            0.000892
