               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074553,            0.043001,            0.021642,             0.78132,             0.30186,             0.35955,             0.15101,            0.044411,            0.020691,            0.013885,             0.06838,           0.0016642,           0.0016642
                   1,            0.049455,            0.030819,            0.011177,             0.71243,              0.7438,             0.76026,             0.38703,            0.038318,             0.01655,           0.0058932,            0.036647,           0.0032649,           0.0032649
                   2,            0.045404,              0.0266,           0.0067936,             0.79297,             0.79904,             0.84517,              0.4534,             0.03323,            0.015565,           0.0045213,           0.0048485,           0.0047997,           0.0047997
                   3,            0.040023,            0.024463,           0.0054343,              0.8265,             0.82324,             0.86123,              0.4861,            0.030847,            0.014798,           0.0040369,            0.004703,            0.004703,            0.004703
                   4,            0.035886,            0.023316,           0.0037254,             0.84454,             0.84942,             0.88797,             0.49133,            0.030036,            0.014641,           0.0034787,            0.004703,            0.004703,            0.004703
                   5,            0.033492,            0.022806,           0.0039131,             0.84093,              0.8488,             0.89895,             0.52556,            0.028734,             0.01438,           0.0031057,            0.004604,            0.004604,            0.004604
                   6,            0.032348,            0.022481,           0.0030413,             0.83083,             0.87601,             0.90159,             0.54858,            0.027338,            0.014246,           0.0030679,            0.004505,            0.004505,            0.004505
                   7,            0.030739,            0.021744,           0.0034921,             0.82724,             0.86818,             0.89667,             0.53955,            0.026023,            0.014238,           0.0033996,            0.004406,            0.004406,            0.004406
                   8,            0.030181,            0.021569,           0.0027398,             0.87119,             0.84678,             0.90775,             0.54257,            0.025921,             0.01414,           0.0028376,            0.004307,            0.004307,            0.004307
                   9,            0.029251,            0.021687,           0.0025464,             0.85288,             0.85132,             0.90498,             0.56157,            0.026227,             0.01407,           0.0025848,            0.004208,            0.004208,            0.004208
                  10,            0.028958,            0.020912,           0.0021998,             0.85284,             0.87679,             0.90199,             0.55963,            0.025438,            0.013996,           0.0031316,            0.004109,            0.004109,            0.004109
                  11,            0.028157,            0.020657,           0.0021717,              0.8807,             0.86339,             0.91393,             0.55685,            0.025948,            0.013955,           0.0028338,             0.00401,             0.00401,             0.00401
                  12,            0.027595,            0.020244,             0.00203,              0.8519,             0.89493,             0.91191,             0.55032,            0.025747,            0.013982,             0.00282,            0.003911,            0.003911,            0.003911
                  13,            0.026943,            0.019807,           0.0019381,             0.87412,             0.86465,             0.90752,             0.55979,            0.025752,            0.013909,           0.0027444,            0.003812,            0.003812,            0.003812
                  14,            0.026675,            0.020057,           0.0019161,             0.88169,             0.86734,             0.91389,             0.56664,            0.024601,            0.013936,           0.0026639,            0.003713,            0.003713,            0.003713
                  15,            0.026292,            0.019605,            0.001831,             0.88867,             0.86709,             0.91675,             0.56628,            0.024489,             0.01381,           0.0023131,            0.003614,            0.003614,            0.003614
                  16,            0.025818,            0.019211,            0.001914,             0.88672,             0.89454,             0.91686,             0.56837,             0.02488,            0.013858,           0.0026793,            0.003515,            0.003515,            0.003515
                  17,            0.025143,              0.0191,           0.0016754,             0.88231,             0.87774,             0.91017,             0.56649,            0.025174,            0.014191,           0.0027491,            0.003416,            0.003416,            0.003416
                  18,            0.025074,            0.019309,           0.0014447,             0.88271,             0.88901,             0.91184,             0.56868,            0.024772,            0.013837,           0.0029685,            0.003317,            0.003317,            0.003317
                  19,            0.024146,            0.018181,           0.0014784,             0.87564,             0.88994,             0.90828,             0.56168,            0.024911,            0.013884,           0.0031647,            0.003218,            0.003218,            0.003218
                  20,            0.024151,            0.018427,           0.0013056,             0.90479,             0.86967,             0.91927,             0.56858,            0.024569,             0.01428,           0.0026495,            0.003119,            0.003119,            0.003119
                  21,            0.023723,            0.018465,           0.0015152,              0.8818,             0.87736,             0.91219,             0.56565,            0.024595,            0.013971,           0.0027249,             0.00302,             0.00302,             0.00302
                  22,             0.02319,            0.018013,           0.0013622,             0.88399,             0.88495,             0.91565,             0.57902,            0.024054,             0.01406,           0.0027427,            0.002921,            0.002921,            0.002921
                  23,            0.023286,            0.017885,            0.001289,             0.89063,             0.86625,             0.91375,             0.56739,            0.024343,            0.014396,           0.0025711,            0.002822,            0.002822,            0.002822
                  24,            0.022794,            0.017449,           0.0011763,             0.89733,             0.86961,             0.92032,             0.57151,            0.024127,             0.01427,           0.0038058,            0.002723,            0.002723,            0.002723
                  25,            0.022374,            0.017594,           0.0012282,             0.89963,             0.88976,             0.92289,             0.57484,            0.024177,            0.014032,           0.0031994,            0.002624,            0.002624,            0.002624
                  26,            0.021932,            0.016845,           0.0010842,             0.89644,             0.87307,             0.92333,             0.58091,            0.024479,            0.014142,            0.002722,            0.002525,            0.002525,            0.002525
                  27,            0.021566,            0.016933,           0.0013587,             0.88586,              0.8901,             0.92142,             0.58401,            0.023691,            0.014041,           0.0025637,            0.002426,            0.002426,            0.002426
                  28,            0.021452,            0.016949,            0.001145,             0.88343,             0.89874,             0.93056,             0.58299,            0.023928,            0.014255,           0.0028057,            0.002327,            0.002327,            0.002327
                  29,            0.020946,            0.016633,           0.0010116,             0.88227,             0.89366,             0.92581,              0.5835,            0.023793,            0.014268,           0.0024472,            0.002228,            0.002228,            0.002228
                  30,            0.020948,            0.016547,           0.0010072,             0.89732,             0.88323,             0.92407,             0.57741,             0.02393,            0.014315,           0.0028517,            0.002129,            0.002129,            0.002129
                  31,            0.020586,            0.015979,          0.00092956,             0.89126,             0.87656,              0.9195,             0.58417,            0.023852,            0.014357,             0.00223,             0.00203,             0.00203,             0.00203
                  32,            0.020366,            0.015805,           0.0010787,             0.89286,             0.88355,             0.91528,             0.56889,             0.02386,             0.01456,           0.0022872,            0.001931,            0.001931,            0.001931
                  33,            0.020071,            0.015859,          0.00093445,             0.89064,             0.88495,             0.92297,             0.58523,            0.024031,            0.014543,           0.0025807,            0.001832,            0.001832,            0.001832
                  34,            0.019595,            0.015398,          0.00084696,             0.87578,             0.89267,             0.91504,             0.57545,            0.023766,            0.014402,           0.0023131,            0.001733,            0.001733,            0.001733
                  35,            0.019592,            0.015833,           0.0007742,             0.89589,             0.88238,             0.91921,             0.57678,            0.023654,            0.014261,           0.0024735,            0.001634,            0.001634,            0.001634
                  36,            0.018983,            0.015157,          0.00077345,             0.90273,             0.89028,             0.92316,              0.5823,            0.023668,            0.014451,           0.0026303,            0.001535,            0.001535,            0.001535
