               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075092,             0.03957,            0.021425,             0.73158,             0.28011,             0.29969,              0.1029,            0.049507,            0.020408,            0.013026,            0.070044,           0.0033284,           0.0033284
                   1,            0.053499,            0.030948,            0.010523,              0.5501,             0.59093,             0.60551,             0.25966,            0.044981,            0.017676,           0.0058697,            0.039912,           0.0065299,           0.0065299
                   2,            0.049439,            0.028211,           0.0075173,             0.78275,             0.71785,             0.80627,              0.3976,            0.037211,             0.01704,           0.0049631,           0.0096482,           0.0095993,           0.0095993
                   3,            0.043303,            0.027154,           0.0064736,              0.7758,             0.73201,              0.7825,             0.38668,            0.036227,            0.017068,           0.0046365,            0.009406,            0.009406,            0.009406
                   4,            0.040707,            0.026941,           0.0053659,              0.7941,             0.77041,             0.82526,             0.44483,            0.031642,            0.016508,           0.0043503,            0.009406,            0.009406,            0.009406
                   5,            0.038274,            0.026899,           0.0058812,             0.80437,             0.74849,             0.83133,             0.45239,            0.032166,            0.017063,           0.0040173,            0.009208,            0.009208,            0.009208
                   6,            0.037543,            0.027029,           0.0048908,             0.78952,             0.77943,              0.8416,              0.4533,            0.032774,            0.016767,           0.0031932,             0.00901,             0.00901,             0.00901
                   7,            0.036416,            0.026352,           0.0050711,             0.82894,             0.79933,             0.86415,             0.48234,            0.030062,            0.016096,           0.0033538,            0.008812,            0.008812,            0.008812
                   8,             0.03539,            0.025667,           0.0042939,             0.80937,             0.79796,             0.85803,             0.46561,            0.030055,            0.016704,           0.0038858,            0.008614,            0.008614,            0.008614
                   9,            0.034468,            0.025901,           0.0039551,             0.82472,             0.82023,             0.86066,             0.49217,            0.029461,            0.016058,            0.003011,            0.008416,            0.008416,            0.008416
                  10,            0.033799,            0.025259,           0.0037603,              0.8129,             0.83615,             0.86967,             0.48481,            0.029135,             0.01573,           0.0033411,            0.008218,            0.008218,            0.008218
                  11,             0.03286,             0.02503,            0.003415,             0.84727,             0.81222,             0.87441,             0.51412,            0.028301,            0.015877,           0.0031905,             0.00802,             0.00802,             0.00802
                  12,            0.032346,            0.024691,           0.0032505,             0.80227,             0.81848,             0.85994,             0.49213,            0.028305,            0.015745,           0.0041214,            0.007822,            0.007822,            0.007822
                  13,            0.031875,             0.02433,           0.0032988,             0.82692,             0.84439,             0.88735,             0.51096,            0.027652,            0.015699,           0.0023899,            0.007624,            0.007624,            0.007624
                  14,            0.031882,            0.024395,           0.0031551,             0.83636,             0.81121,             0.87519,              0.5045,            0.027427,            0.015607,           0.0032332,            0.007426,            0.007426,            0.007426
                  15,            0.031509,            0.023981,           0.0029954,              0.8368,             0.82639,             0.87377,             0.50021,             0.02748,            0.015526,           0.0032363,            0.007228,            0.007228,            0.007228
                  16,            0.030741,            0.023515,           0.0030098,             0.84734,             0.80203,             0.87791,             0.50489,            0.027948,            0.015322,            0.003402,             0.00703,             0.00703,             0.00703
                  17,            0.030524,            0.023866,           0.0027632,             0.82946,             0.82645,             0.87728,             0.51239,            0.027759,             0.01545,           0.0038037,            0.006832,            0.006832,            0.006832
                  18,            0.030353,             0.02391,           0.0023729,             0.85257,             0.84651,             0.89964,             0.53044,            0.026731,            0.015014,           0.0029408,            0.006634,            0.006634,            0.006634
                  19,            0.029778,            0.022449,           0.0022967,             0.82285,             0.84592,             0.88394,             0.52157,            0.026941,            0.015161,           0.0042146,            0.006436,            0.006436,            0.006436
                  20,            0.029499,            0.023057,           0.0024371,             0.84852,             0.83814,             0.88973,             0.52421,            0.026661,             0.01514,            0.003536,            0.006238,            0.006238,            0.006238
                  21,            0.029163,            0.023017,           0.0021754,             0.86024,             0.84442,             0.88511,             0.51917,            0.026716,            0.015188,           0.0036266,             0.00604,             0.00604,             0.00604
                  22,            0.028627,            0.022433,           0.0022824,              0.8498,             0.84377,             0.89901,              0.5441,            0.026274,             0.01506,            0.003305,            0.005842,            0.005842,            0.005842
                  23,            0.028808,            0.022384,           0.0022013,             0.85599,             0.83016,             0.87712,             0.52103,             0.02629,             0.01499,           0.0035647,            0.005644,            0.005644,            0.005644
                  24,            0.028394,            0.021939,           0.0021861,             0.84432,             0.85196,             0.89493,             0.53683,            0.026142,            0.014964,           0.0033162,            0.005446,            0.005446,            0.005446
                  25,            0.027919,            0.022083,           0.0017558,              0.8582,             0.83929,             0.88847,              0.5344,            0.026097,            0.014974,           0.0033141,            0.005248,            0.005248,            0.005248
                  26,            0.027503,            0.021564,           0.0019397,             0.82414,             0.86084,             0.88615,             0.53153,            0.026416,            0.014786,             0.00381,             0.00505,             0.00505,             0.00505
                  27,            0.027227,             0.02172,           0.0020772,             0.84853,             0.84056,             0.89628,             0.53369,            0.026218,            0.015012,           0.0027777,            0.004852,            0.004852,            0.004852
                  28,            0.027284,            0.021835,             0.00189,              0.8445,              0.8507,             0.89081,             0.53292,            0.026132,             0.01472,           0.0030103,            0.004654,            0.004654,            0.004654
                  29,            0.026713,            0.021498,           0.0017309,             0.85471,             0.84984,             0.89519,             0.54494,            0.025626,            0.014653,           0.0033483,            0.004456,            0.004456,            0.004456
                  30,            0.026871,            0.021241,           0.0016618,             0.86634,             0.84686,              0.8942,             0.53512,            0.026268,            0.014685,           0.0032204,            0.004258,            0.004258,            0.004258
                  31,            0.026468,            0.020438,           0.0014705,             0.86884,             0.83825,             0.89635,             0.54092,            0.025706,            0.014736,           0.0030266,             0.00406,             0.00406,             0.00406
                  32,            0.026228,            0.020492,           0.0016565,             0.85344,             0.84865,              0.8893,              0.5376,            0.025762,            0.014686,           0.0030404,            0.003862,            0.003862,            0.003862
                  33,            0.025969,            0.020663,           0.0015059,             0.87345,             0.83854,              0.9022,             0.55371,              0.0257,            0.014603,           0.0035565,            0.003664,            0.003664,            0.003664
                  34,            0.025789,            0.019939,           0.0013844,             0.85148,             0.85259,             0.89827,             0.54465,            0.025429,            0.014648,           0.0029203,            0.003466,            0.003466,            0.003466
                  35,             0.02557,            0.020621,           0.0012359,             0.87126,             0.84601,             0.90454,             0.54995,            0.025463,            0.014514,           0.0036305,            0.003268,            0.003268,            0.003268
                  36,            0.025019,            0.020054,           0.0014489,             0.84329,             0.86555,             0.89958,             0.54773,            0.025537,             0.01463,           0.0035148,             0.00307,             0.00307,             0.00307
                  37,            0.025177,            0.020175,           0.0012974,             0.87374,             0.83567,             0.89134,             0.54184,            0.025712,            0.014579,           0.0037702,            0.002872,            0.002872,            0.002872
                  38,            0.024757,            0.019381,           0.0013554,             0.86415,             0.85995,             0.89838,             0.55542,            0.025359,            0.014563,           0.0035397,            0.002674,            0.002674,            0.002674
                  39,            0.024714,            0.019727,           0.0010611,             0.87326,             0.84773,             0.90443,             0.55624,            0.025139,             0.01453,           0.0038141,            0.002476,            0.002476,            0.002476
                  40,            0.024263,            0.019284,            0.001195,             0.88193,             0.82214,              0.8942,             0.55046,            0.025181,            0.014544,           0.0036061,            0.002278,            0.002278,            0.002278
                  41,            0.024328,            0.018983,           0.0011341,             0.85906,              0.8483,             0.90084,             0.55139,            0.025482,            0.014745,           0.0027473,             0.00208,             0.00208,             0.00208
                  42,            0.023926,            0.019262,           0.0010606,             0.85811,             0.85542,             0.90458,             0.56053,            0.025068,            0.014609,            0.002941,            0.001882,            0.001882,            0.001882
                  43,            0.023898,            0.019432,           0.0011974,             0.87713,              0.8347,             0.90029,             0.55345,            0.025244,            0.014708,           0.0033962,            0.001684,            0.001684,            0.001684
                  44,            0.023613,            0.018906,          0.00099282,             0.84446,             0.86624,             0.90044,             0.55434,            0.024952,            0.014627,              0.0034,            0.001486,            0.001486,            0.001486
                  45,            0.023343,            0.018483,          0.00093971,             0.88351,             0.83216,             0.89906,             0.55415,            0.025133,            0.014785,           0.0037892,            0.001288,            0.001288,            0.001288
                  46,            0.023252,            0.018695,           0.0011716,             0.84694,             0.86368,             0.90067,             0.55568,            0.025031,            0.014501,           0.0034706,             0.00109,             0.00109,             0.00109
                  47,            0.023023,            0.018539,          0.00094837,             0.86278,             0.86233,             0.90267,             0.55873,            0.024973,            0.014685,           0.0032079,            0.000892,            0.000892,            0.000892
                  48,            0.023003,            0.018778,          0.00093403,             0.87135,             0.84206,             0.90552,             0.56152,            0.024907,            0.014575,           0.0032127,            0.000694,            0.000694,            0.000694
                  49,            0.022645,            0.018549,          0.00087895,             0.88162,             0.83923,             0.90682,              0.5634,            0.024968,            0.014533,           0.0032566,            0.000496,            0.000496,            0.000496
